Year,Distance-capacité de la zone de service de transport public,Géographie,Emplacement,Genre,Démographique et socio-économique,GeoCode,Value
2023,500 mètres de tous les arrêts de transport en commun,Terre-Neuve-et-Labrador,Rural,Femmes+,15 à 19 ans,10,7.2
2023,500 mètres de tous les arrêts de transport en commun,Terre-Neuve-et-Labrador,Rural,Femmes+,20 à 24 ans,10,14.3
2023,500 mètres de tous les arrêts de transport en commun,Terre-Neuve-et-Labrador,Rural,Femmes+,65 ans et plus,10,5.3
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),10,54.6
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",0 to 14 years,10,46.7
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",15 à 64 ans,10,54.6
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",15 à 19 ans,10,48.9
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",20 à 24 ans,10,62.7
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",65 ans et plus,10,60.6
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),10,54.0
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,0 to 14 years,10,46.7
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,15 à 64 ans,10,54.5
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,15 à 19 ans,10,49.0
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,20 à 24 ans,10,62.8
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,65 ans et plus,10,58.5
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),10,55.1
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,0 to 14 years,10,46.7
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,15 à 64 ans,10,54.6
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,15 à 19 ans,10,48.8
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,20 à 24 ans,10,62.5
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,65 ans et plus,10,62.3
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),10,62.2
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,"Total, genre",0 to 14 years,10,54.1
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,"Total, genre",15 à 64 ans,10,62.0
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,"Total, genre",15 à 19 ans,10,56.2
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,"Total, genre",20 à 24 ans,10,68.5
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,"Total, genre",65 ans et plus,10,68.8
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),10,61.8
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Hommes+,0 to 14 years,10,54.1
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Hommes+,15 à 64 ans,10,62.1
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Hommes+,15 à 19 ans,10,56.5
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Hommes+,20 à 24 ans,10,69.2
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Hommes+,65 ans et plus,10,67.2
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),10,62.5
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Femmes+,0 to 14 years,10,54.0
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Femmes+,15 à 64 ans,10,61.9
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Femmes+,15 à 19 ans,10,55.9
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Femmes+,20 à 24 ans,10,67.8
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Femmes+,65 ans et plus,10,70.1
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),10,6.7
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,"Total, genre",0 to 14 years,10,6.7
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,"Total, genre",15 à 64 ans,10,7.1
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,"Total, genre",15 à 19 ans,10,6.6
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,"Total, genre",20 à 24 ans,10,12.3
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,"Total, genre",65 ans et plus,10,5.2
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),10,6.4
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,Hommes+,0 to 14 years,10,6.5
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,Hommes+,15 à 64 ans,10,6.7
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,Hommes+,15 à 19 ans,10,5.7
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,Hommes+,20 à 24 ans,10,10.7
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,Hommes+,65 ans et plus,10,5.1
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),10,7.0
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,Femmes+,0 to 14 years,10,6.8
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,Femmes+,15 à 64 ans,10,7.6
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,Femmes+,15 à 19 ans,10,7.2
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,Femmes+,20 à 24 ans,10,14.3
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Terre-Neuve-et-Labrador,Rural,Femmes+,65 ans et plus,10,5.3
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",0 to 14 years,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",15 à 64 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",15 à 19 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",20 à 24 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",65 ans et plus,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,0 to 14 years,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,15 à 64 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,15 à 19 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,20 à 24 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,65 ans et plus,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,0 to 14 years,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,15 à 64 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,15 à 19 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,20 à 24 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,65 ans et plus,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,"Total, genre",0 to 14 years,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,"Total, genre",15 à 64 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,"Total, genre",15 à 19 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,"Total, genre",20 à 24 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,"Total, genre",65 ans et plus,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Hommes+,0 to 14 years,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Hommes+,15 à 64 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Hommes+,15 à 19 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Hommes+,20 à 24 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Hommes+,65 ans et plus,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Femmes+,0 to 14 years,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Femmes+,15 à 64 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Femmes+,15 à 19 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Femmes+,20 à 24 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Urbain,Femmes+,65 ans et plus,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Rural,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Rural,"Total, genre",0 to 14 years,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Rural,"Total, genre",15 à 64 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Rural,"Total, genre",15 à 19 ans,10,
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Terre-Neuve-et-Labrador,Rural,"Total, genre",20 à 24 ans,10,
